drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,9,178,0,0.15950144765339686,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,10,178,0,0.49051116001233475,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,11,178,1,0.8765964865722254,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,12,178,1,0.9869524453057921,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,13,178,0,0.40701309660485846,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,14,178,0,0.29924236658899933,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,15,178,1,0.9256769087410416,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,16,178,0,0.1885911130747283,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,17,178,1,0.5848401340434718,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,18,178,0,0.016680968378052323,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,19,178,0,0.292875759691269,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,20,178,0,0.3505474815615454,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,21,178,0,0.10880888532068865,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,22,178,1,0.7351772158734742,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,23,178,1,0.6817552733837869,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,24,178,0,0.00744318870361698,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,25,178,0,0.0037133517833326172,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,26,178,1,0.8609535903039666,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,27,178,0,0.3802003280420021,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,28,178,1,0.703589535991679,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,29,178,0,0.026995066818905854,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,30,178,1,0.7038581243483147,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,31,178,0,0.09964485542434556,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,32,178,1,0.5821202921149492,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,33,178,1,0.6924489968450404,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,34,178,0,0.10829792062392704,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,35,178,0,0.10956410427201597,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,36,178,0,0.06483376532662236,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,37,178,1,0.9266407015619964,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,38,178,1,0.5148665966687772,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,39,178,1,0.7327217978839397,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,40,178,0,0.02447171702052457,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,41,178,0,0.010206651528108122,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,42,178,1,0.6242008943429814,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,43,178,0,0.08242483791099323,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,44,178,1,0.5138286733196001,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,45,178,0,0.485834990638274,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,46,178,0,0.4512672442785566,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,47,178,1,0.6764481176726767,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,48,178,0,0.34433150327511475,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,49,178,1,0.8904486507507968,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,50,178,0,0.3133786956775808,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,51,178,0,0.02366264658692672,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,52,178,0,0.3567007690173855,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,53,178,1,0.6090270709580222,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,54,178,1,0.994693525739688,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,55,178,1,0.8917475704516963,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,56,178,0,0.04461998752949184,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,57,178,0,0.06959334836614559,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,58,178,1,0.8835564682093315,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,59,178,0,0.16068308634482095,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,60,178,1,0.7601566526291412,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,61,178,0,0.28044473981878787,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,62,178,0,0.19530080155962418,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,63,178,0,0.34085568326407945,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,64,178,1,0.5827077180425012,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,65,178,0,0.09615328594109727,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,66,178,0,0.49119272727539964,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,67,178,1,0.7701946476695514,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,68,178,0,0.16839047270366186,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,69,178,0,0.37334615409670546,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,70,178,0,0.09926349794356865,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,71,178,0,0.15247996411126763,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,72,178,1,0.7754819635974495,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,73,178,0,0.0001459478551113273,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,74,178,0,0.03243567014548953,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,75,178,0,0.01373921096816436,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,76,178,0,0.4219085612344346,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,77,178,1,0.7283341386078638,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,78,178,1,0.9117212682417384,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,79,178,1,0.6510161599239891,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,80,178,0,0.07385280348988167,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,81,178,1,0.7112695018864619,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,82,178,0,0.039756806969978346,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,83,178,1,0.9523935473922513,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,84,178,0,0.036188036334845505,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,85,178,1,0.64721835433719,1
