,Edge,U,pval,adj_pvals
412,CCL20;XCL2,263.5,1.0,1.0
413,CCL20;CXCL12,263.5,1.0,1.0
414,CCL20;CXCL2,263.5,1.0,1.0
415,CCL20;CXCR6,263.5,1.0,1.0
416,CCL8;CCL13,263.5,1.0,1.0
417,CCL8;CXCL6,263.5,1.0,1.0
418,CCL8;PPBP,263.5,1.0,1.0
419,CCL8;CXCL11,263.5,1.0,1.0
420,CCL8;XCL2,263.5,1.0,1.0
421,CCL8;CXCL2,263.5,1.0,1.0
422,CXCL13;CXCL12,263.5,1.0,1.0
423,CXCL13;CXCR5,263.5,1.0,1.0
424,CXCL13;CXCL11,263.5,1.0,1.0
425,CXCL11;CCL13,263.5,1.0,1.0
426,CXCL11;CXCL6,263.5,1.0,1.0
427,CXCL11;PPBP,263.5,1.0,1.0
428,CXCL11;CXCL12,263.5,1.0,1.0
429,CXCL11;CCL24,263.5,1.0,1.0
430,CXCL11;XCL1,263.5,1.0,1.0
431,CXCL11;CXCL2,263.5,1.0,1.0
432,CCL13;PPBP,263.5,1.0,1.0
433,CCL13;XCL1,263.5,1.0,1.0
434,CCL13;CCL24,263.5,1.0,1.0
435,CCL13;CXCL12,263.5,1.0,1.0
436,PPBP;CXCL6,263.5,1.0,1.0
437,PPBP;CXCL12,263.5,1.0,1.0
438,XCL1;CXCL2,263.5,1.0,1.0
439,XCL1;CCL24,263.5,1.0,1.0
440,XCL1;CXCL12,263.5,1.0,1.0
441,XCL1;XCL2,263.5,1.0,1.0
442,CXCL12;CXCL6,263.5,1.0,1.0
443,CXCL12;CXCR5,263.5,1.0,1.0
444,CXCL12;XCL2,263.5,1.0,1.0
445,CXCL12;CXCL2,263.5,1.0,1.0
446,CXCL12;CXCR6,263.5,1.0,1.0
447,COL1A1;COL6A2,256.0,0.8791209452208272,1.0
448,COL1A1;CRTAP,289.5,0.5825134301855096,1.0
449,COL1A1;COL5A2,251.5,0.7910119016159567,1.0
450,COL1A1;COL5A1,213.0,0.25327781996187515,1.0
451,COL1A1;COL6A3,222.0,0.3402431090101916,1.0
452,COL1A1;COL6A1,239.5,0.6121055998386901,1.0
453,COL1A1;COL11A1,261.5,0.9718765392245955,1.0
454,COL1A1;RUNX2,253.0,0.8283110801541816,1.0
455,COL1A1;SPARC,284.0,0.6662822296243653,1.0
456,COL6A2;COL6A3,269.0,0.9134950198289751,1.0
457,COL6A2;COL6A1,226.5,0.4312571485078267,1.0
458,COL5A2;COL11A1,255.0,0.8523781984939055,1.0
459,COL5A2;COL5A1,262.0,0.9820342676801419,1.0
460,COL6A3;COL6A1,205.0,0.21094098335043032,1.0
461,CXCL6;CXCL2,263.5,1.0,1.0
462,CXCL2;XCL2,263.5,1.0,1.0
463,ITGAM;THY1,232.0,0.11125505933954155,1.0
