,Edge,U,pval,adj_pvals
308,BLM;MSH2,142.5,0.7416852050436669,1.0
309,BLM;MSH6,139.5,0.8175122490832569,1.0
310,BLM;BRIP1,133.5,0.9736539718379985,1.0
311,BLM;ATM,140.0,0.8046734184651048,1.0
312,BLM;FANCD2,130.0,0.9604777990226009,1.0
313,BLM;FEN1,133.5,0.973693188785227,1.0
314,BLM;ATR,123.0,0.7770976814620061,1.0
315,BLM;BRCA1,136.5,0.895176608245378,1.0
316,BLM;FANCG,136.0,0.9079247843638198,1.0
317,BLM;RAD17,131.0,0.9867734225086385,1.0
318,BLM;BRCA2,135.0,0.9343327533261433,1.0
319,PTPRB;CTNNB1,146.0,0.6567617659000331,1.0
320,NUMA1;NPM1,135.0,0.933435416109271,1.0
321,MAP2K1;MAPK1,136.0,0.9082094598924602,1.0
322,MAP2K1;ARAF,139.5,0.8174259542715221,1.0
323,MAP2K1;NRAS,132.5,1.0,1.0
324,MAP2K1;PTPN11,134.5,0.9474769029143846,1.0
325,MAP2K1;BRAF,140.0,0.8045309064832546,1.0
326,MAP2K1;PRKACA,152.5,0.5030923229629034,1.0
327,MAP2K1;HRAS,121.0,0.7268211138648414,1.0
328,MAP2K1;RAF1,124.0,0.8043460154048302,1.0
329,MAP2K1;PPP2R1A,150.5,0.544009282862471,1.0
330,NCKIPSD;WAS,153.5,0.4885979815221023,1.0
331,NFKB2;BCL3,152.5,0.5061840889242506,1.0
332,NFKB2;NFKBIE,177.5,0.13116204675727736,1.0
333,NFKB2;REL,158.0,0.39884883928051573,1.0
334,NFKB2;FBXW7,140.5,0.7915758647640997,1.0
335,NFKB2;IKBKB,146.0,0.6541835893630648,1.0
336,KDR;PLCG1,164.0,0.29840587563053944,1.0
337,KDR;PDGFRB,161.5,0.3368492823693743,1.0
338,KDR;FLT4,172.0,0.1911768607568327,1.0
339,KDR;CTNNB1,168.5,0.2359215361268725,1.0
340,KDR;PIK3R1,176.5,0.14664570957186304,1.0
341,KDR;PTPN6,173.5,0.17524293826225168,1.0
342,KDR;JAK1,170.0,0.21678855454681134,1.0
343,KDR;PTPN11,184.0,0.08917096878641123,1.0
344,KDR;HSP90AA1,164.0,0.2993787503431946,1.0
345,KDR;PIK3CB,168.0,0.24144210785200693,1.0
346,KDR;SRC,167.0,0.25558031736842923,1.0
347,KDR;HSP90AB1,165.0,0.2843412255656811,1.0
348,KDR;PIK3CA,174.5,0.16608332023257577,1.0
349,KDR;JAK2,162.5,0.32302397303345864,1.0
350,KDR;MET,155.0,0.45610446123323056,1.0
351,CREB1;MAPK1,112.5,0.5165060588391213,1.0
352,CREB1;CCND1,92.5,0.18312705480864,1.0
353,CREB1;ATF1,101.0,0.3130941916575791,1.0
354,CREB1;CREBBP,105.0,0.3650640589304198,1.0
355,CREB1;EP300,134.5,0.9462072239547311,1.0
356,CREB1;STAT3,117.5,0.6327161927588076,1.0
357,CREB1;CRTC3,117.5,0.6247607168937823,1.0
358,CREB1;REL,104.0,0.3621181068117788,1.0
359,CREB1;PRKACA,121.5,0.7352907677171947,1.0
360,CREB1;MAF,105.5,0.38619224428297405,1.0
361,CREB1;CREB3L2,104.5,0.362615874164937,1.0
362,CREB1;SMAD3,118.0,0.6455326252506177,1.0
363,CREB1;CRTC1,117.5,0.6247607168937823,1.0
364,CREB1;SGK1,110.5,0.4825177479970977,1.0
365,CREB1;JUN,134.0,0.9561000732891644,1.0
366,CREB1;AKT2,102.0,0.32010962286953915,1.0
367,CREB1;NFATC2,115.5,0.5870563587808982,1.0
368,CREB1;AKT1,108.0,0.4214111170945182,1.0
369,CREB1;KMT2A,130.0,0.9598163426308061,1.0
370,CREB1;CTNNB1,105.5,0.37212787413856774,1.0
371,CREB1;CIITA,136.0,0.6665990972678644,1.0
372,ZMYM3;ZMYM2,136.0,0.9078844760500112,1.0
373,NCOR2;RARA,117.0,0.621889127964003,1.0
374,NCOR2;CREBBP,120.0,0.6999898855713922,1.0
375,NCOR2;EP300,104.5,0.3655390026314177,1.0
376,NCOR2;NCOR1,102.5,0.3202615108130832,1.0
