drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,8,151,0.912,0.9885057471264368,0.6428571428571429,0.38123167155425225,23,8,7,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,9,151,0.912,0.9773379231210557,0.6428571428571429,0.4897959183673469,25,10,5,2
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,10,151,0.984,1.0,0.5952380952380952,0.40583554376657827,22,7,10,3
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,11,151,0.96,0.9984875983061101,0.5238095238095238,0.5777126099706744,16,15,5,6
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,12,151,0.944,0.9803370786516854,0.7142857142857143,0.7108753315649868,25,4,8,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,13,151,0.992,1.0,0.6190476190476191,0.5583333333333333,18,12,4,8
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,14,151,0.968,0.9942857142857143,0.5952380952380952,0.528061224489796,19,9,8,6
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,15,151,0.944,0.9953183520599251,0.6904761904761905,0.6180371352785146,22,7,6,7
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,16,151,0.968,0.9996878901373283,0.6666666666666666,0.6312997347480107,19,10,4,9
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,17,151,0.944,0.9963702359346642,0.5476190476190477,0.533724340175953,21,10,9,2
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,18,151,1.0,1.0,0.5476190476190477,0.451530612244898,19,9,10,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,19,151,1.0,1.0,0.5,0.4472222222222222,16,14,7,5
Atezo,BLCA,KIRC,strict,norm-node,0.1,0,242,1.0,1.0,0.7380952380952381,0.7320954907161804,24,5,6,7
Atezo,BLCA,KIRC,strict,norm-node,0.1,1,242,0.976,0.998095238095238,0.7142857142857143,0.5535714285714286,23,5,7,7
