,Edge,U,pval,adj_pvals
398,ERBB2;CDH1,101.5,0.6047445399113864,1.0
399,ERBB2;PIK3R3,116.0,1.0,1.0
400,ERBB2;PIK3CA,116.0,1.0,1.0
401,ERBB2;SHC2,151.5,0.058859203715908276,1.0
402,ERBB2;ERBB3,128.0,0.37017873328529394,1.0
403,ERBB2;PLXNB1,125.0,0.758473343103324,1.0
404,ERBB2;ERBB4,116.0,1.0,1.0
405,ERBB2;GRB7,107.5,0.7667475493529446,1.0
406,ERBB2;NRG1,124.0,0.6664198564306558,1.0
407,ERBB2;EGFR,116.0,1.0,1.0
408,ERBB2;PTPN11,106.0,0.37120436599384277,1.0
409,ERBB2;JAK1,140.0,0.3777289334909363,1.0
410,ERBB2;JAK3,106.0,0.37120436599384277,1.0
411,ERBB2;PIK3R1,116.0,1.0,1.0
412,ERBB2;TGFA,116.0,1.0,1.0
413,ERBB2;MUC1,81.0,0.19713080904066438,1.0
414,ERBB2;NRG2,101.5,0.06601967502129268,1.0
415,ERBB2;INS,116.0,1.0,1.0
416,ERBB2;IGF1,116.0,1.0,1.0
417,ERBB2;IGF1R,116.0,1.0,1.0
418,ERBB2;MUC4,135.0,0.482851443396639,1.0
419,ERBB2;SHC1,128.0,0.37017873328529394,1.0
420,ERBB2;ESR1,120.0,0.6458230910879958,1.0
421,ERBB2;JAK2,125.5,0.7175111650382209,1.0
422,ERBB2;SHC3,102.0,0.5752429876044478,1.0
423,ERBB2;AREG,132.0,0.46466339328763506,1.0
424,ERBB2;PIK3CB,106.0,0.37120436599384277,1.0
425,EGFR;TGFB1,128.0,0.37017873328529394,1.0
426,EGFR;PIK3R2,116.0,1.0,1.0
427,EGFR;KRAS,116.0,1.0,1.0
428,EGFR;CDH1,104.5,0.6842447541783947,1.0
429,EGFR;PIK3R3,116.0,1.0,1.0
430,EGFR;PIK3CA,116.0,1.0,1.0
431,EGFR;SHC2,151.5,0.058859203715908276,1.0
432,EGFR;ERBB3,124.0,0.6077804301465527,1.0
433,EGFR;PTPN11,127.0,0.32298221346472844,1.0
434,EGFR;NRG1,141.0,0.15908627536253195,1.0
435,EGFR;NRAS,116.0,1.0,1.0
436,EGFR;GRB7,111.0,0.8671999255784567,1.0
437,EGFR;ERBB4,116.0,1.0,1.0
438,EGFR;TGFA,116.0,1.0,1.0
439,EGFR;PIK3R1,116.0,1.0,1.0
440,EGFR;JAK1,126.0,0.721399527865612,1.0
441,EGFR;JAK3,110.5,0.6968135030613116,1.0
442,EGFR;JAK2,125.5,0.7175111650382209,1.0
443,EGFR;ESR1,120.0,0.6458230910879958,1.0
444,EGFR;SHC1,128.0,0.37017873328529394,1.0
445,EGFR;SHC3,143.0,0.2713583542488067,1.0
446,EGFR;INS,116.0,1.0,1.0
447,EGFR;NRG2,101.5,0.06601967502129268,1.0
448,EGFR;MUC1,87.0,0.2866671376640859,1.0
449,EGFR;HRAS,116.0,1.0,1.0
450,EGFR;IGF1,116.0,1.0,1.0
451,EGFR;IGF1R,116.0,1.0,1.0
452,EGFR;PIK3CB,105.0,0.32298221346472844,1.0
453,EGFR;AREG,132.0,0.46466339328763506,1.0
454,TGFB1;TGFBR3,94.0,0.3629071229130577,1.0
455,TGFB1;BGN,106.0,0.37120436599384277,1.0
456,TGFB1;FMOD,110.5,0.6968135030613116,1.0
457,TGFB1;IGF1,128.0,0.37017873328529394,1.0
458,TGFB1;TGFB3,121.5,0.6968135030613116,1.0
459,TGFB1;ACVRL1,84.0,0.07022134689280139,1.0
460,TGFB1;LTBP3,120.0,0.8993001454102022,1.0
461,TGFB1;TGFBR1,123.0,0.8086324002144252,1.0
462,TGFB1;LTBP1,137.0,0.4493466039933657,1.0
463,TGFB1;TGFBR2,91.0,0.20947160595295733,1.0
464,TGFB1;ENG,104.0,0.5874772347729906,1.0
